Frame,Actual Time,Time Elapsed,H_qx,H_qy,H_qz,H_qw,H_x,H_y,H_z,S_qx,S_qy,S_qz,S_qw,S_x,S_y,S_z,W_qx,W_qy,W_qz,W_qw,W_x,W_y,W_z,Closest Image,Time Difference (s)
880,1900-01-01 14:25:50.059333,7.333333,0.000253,0.399755,0.000106,-0.916622,0.06347,1.553723,-0.631839,-0.021566,0.99948,-0.023554,0.004477,-1.512384,0.845457,1.655293,-2.8e-05,9e-06,1.6e-05,-1.0,0.700003,0.883554,-0.544562,14_25_50_060958.png,0.001625
1093,1900-01-01 14:25:51.834333,9.108333,0.000234,0.399827,0.000102,-0.916591,0.063507,1.55358,-0.631742,-0.019777,0.999515,-0.023714,0.00401,-1.511611,0.845421,1.655334,-3.4e-05,0.0,8e-06,-1.0,0.69998,0.883581,-0.544566,14_25_51_834670.png,0.000337
1168,1900-01-01 14:25:52.459333,9.733333,0.000251,0.399759,0.000101,-0.91662,0.063462,1.553749,-0.631857,-0.020935,0.999485,-0.024013,0.003918,-1.511707,0.845474,1.655056,-3e-05,-7e-06,2.2e-05,-1.0,0.699967,0.883583,-0.544548,14_25_52_457007.png,0.002326
1192,1900-01-01 14:25:52.659333,9.933333,0.000258,0.399771,0.000106,-0.916615,0.063467,1.55375,-0.63185,-0.020624,0.999479,-0.024572,0.003503,-1.511664,0.845523,1.654853,-3.2e-05,2e-06,1.7e-05,-1.0,0.7,0.883574,-0.544558,14_25_52_662129.png,0.002796
1215,1900-01-01 14:25:52.851000,10.125,0.000236,0.399811,0.0001,-0.916598,0.063501,1.553582,-0.631737,-0.020675,0.99949,-0.023897,0.004546,-1.511735,0.845528,1.655112,-2.5e-05,0.0,-1e-06,-1.0,0.699985,0.883557,-0.544554,14_25_52_851471.png,0.000471
1244,1900-01-01 14:25:53.092667,10.366667,0.000249,0.399763,0.000108,-0.916618,0.063464,1.553756,-0.631853,-0.025833,0.999339,-0.025037,0.00532,-1.512639,0.846518,1.654357,-3.6e-05,1e-06,1e-05,-1.0,0.699997,0.883567,-0.544558,14_25_53_094556.png,0.001889
1262,1900-01-01 14:25:53.242667,10.516667,0.000267,0.399736,0.000107,-0.91663,0.063483,1.553752,-0.631846,-0.020203,0.999473,-0.024709,0.00593,-1.511987,0.845736,1.654963,-3.2e-05,7e-06,8e-06,-1.0,0.699991,0.883577,-0.544542,14_25_53_239639.png,0.003028
1285,1900-01-01 14:25:53.434333,10.708333,0.000245,0.399773,8.9e-05,-0.916614,0.063447,1.553755,-0.631846,-0.019344,0.999458,-0.02624,0.004525,-1.511916,0.846156,1.654133,-2.9e-05,5e-06,9e-06,-1.0,0.699997,0.883568,-0.544544,14_25_53_437202.png,0.002869
1310,1900-01-01 14:25:53.642667,10.916667,0.000253,0.39974,0.000109,-0.916628,0.063474,1.553746,-0.631849,-0.025854,0.999194,-0.030028,-0.006433,-1.510929,0.847766,1.651742,-4e-05,-8e-06,9e-06,-1.0,0.69999,0.883565,-0.544557,14_25_53_638741.png,0.003926
1333,1900-01-01 14:25:53.834333,11.108333,0.000257,0.399732,0.000104,-0.916632,0.06348,1.553725,-0.631839,-0.021311,0.999169,-0.032469,-0.012347,-1.509843,0.847428,1.648034,-3.3e-05,6e-06,5e-06,-1.0,0.700004,0.883561,-0.544549,14_25_53_837094.png,0.002761
